Segment_ID,Mode,Text,Word_Count
0,auto,@ / / 'phags pa dpung bzangs kyis zhus pa'i rgyud kyi tshig gi don bshad pa'i brjed byang bzhugs // @## /,23
1,allo,/ chos dbyings mnyam pa nyid la rab zhugs kyang / / thugs rjes gtan du mya ngan mi 'da' zhing / / 'gro ba'i don mdzad mtha' yas gzugs mnga' ba / / dpal brtan rdo rje bsnams la phyag 'tshal lo,43
2,auto,/ / de ltar bsdus pa'i don dang dgos pa dag / slob dpon khyad par can gyis gsal mdzad kyang / / tshig gi don dang mtshams sbyar brgal ba'i lan / / rang la gces pa'i don du cung zad dbye / / de la gnod sbyin bdag po zhes bya ba ni phyag na rdo rje ste / gnod sbyin thams cad 'dul bar mnga' gsol ba'i phyir ro,72
3,allo,/ / nyi ma stong gi gzi,7
4,auto,zhes bya ba ni sku dang thugs kyi yon tan la sbyar ro / / thugs rje zhes bya ba ni sems can thams cad la brtse bar dgongs pa'i don to,32
9,allo,/ / rtse gcig yid gyur,6
10,auto,zhes bya ba ni de bzhin nyid la dgongs pa'i don to / / bzhugs pa la zhes bya ba ni tshangs pa'i gnas pa la sogs pa ste thugs rjes zhes smos pa'i phyir ro / /,38
13,allo,dpung bzangs tshul bzhin gus par phyag 'tshal nas / /,11
14,auto,zhes bya ba ni shin tu dang bas mgo bos yab kyi zhabs la gtugs te phyag byas pa'i don to / / tshogs kun grub la zhus zhes bya ba ni sangs rgyas dang byang chub sems dpal la sogs pas / rig sngags dang gsang sngags mang po so so'i cho ga zhib mo gsungs pa rnams nges par dngos grub tu gyur par bya ba'i don rnams zhus zhes bya ba'i tha tshig go / / sa steng mi rnams zhes bya ba ni skabs 'di la sogs rig sngags 'chang la sbyar ba'i shas chung ba'i don to / / bzlas brjod ces bya ba ni yan lag bzhi pa'i don to / / smyung ba zhes bya ba ni kha zas mi za ba'o / / dka' thub ces bya ba ni 'gal ba'i zas dang gos spang ba'o / / nges par spyad pa zhes bya ba ni smyung ba dang mi smra ba'i dka' thub kyi dus 'di srid gcig tu bya'o zhes lus dang ngag gi sgo shin tu sdom pa'o / / rab tu bsgrims kyang grub pa ma mthong na / / zhes bya ba ni 'bad par ni gzigs la grub par ni ma gzigs zhes bya ba'i tha tshig go / / gtso bo khyod kyis zhes bya ba ni skabs 'dir phyag na rdo rje kho na,230
27,allo,smos pa ni sa 'dzin nam rdo rje'i rigs kyi shas cher,12
28,auto,gsungs par rig par bya'o / / sdig 'joms zhes bya ba ni gsang sngags de dag gi las rnam par dag pa bstan to / / dag byed rnams kyi mchog ces bya ba ni rang bzhin rnam par dag pa bstan to / / bden pa'i gsung gis rab tu bka' stsal na / / zhes bya ba ni rgyud rnam par dag par bstan pa'o / / ji ltar sngags rnams 'bras,75
31,allo,bu ma mchis gyur / / zhes,7
32,auto,bya ba ni rnam par dag pa'i khungs nas byung ba la / slu ba mi srid,17
35,allo,par brjod pa'o / / rab dang 'bring,8
36,auto,dang de bzhin tha ma zhes bya ba la sogs pas,11
37,allo,ni nam mkha' la 'gro ba la sogs pa'i dngos grub sgrub pa,13
38,auto,po la yon tan yang yod / gsang sngags kyang mthu che mod kyi / ma bsgrubs pa'i phyir dngos grub ma thob po zhes bya ba'i glan ka bsal ba'i don to / / 'bras bu zhes bya ba dang grub pa zhes bya ba ni rnam grangs te / nam mkha' la 'gro ba la sogs pa'o / / sgrub pa nyon mongs kho na ci rung lags / / zhes bya ba ni ngal ba'i 'bras bu med pa ni smad pa'o zhes bya ba'i tha tshig go / / rgyal ba zhes bya ba ni sdig pa mi dge ba'i chos las rgyal ba'i phyir,109
