token,label
'phags,B-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
mtshan,I-AUTO
yang,I-AUTO
dag,I-AUTO
par,I-AUTO
brjod,I-AUTO
pa,I-AUTO
zhes,I-AUTO
bya,I-AUTO
ba,I-AUTO
la/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
zhes,I-AUTO
bya,I-AUTO
ba,I-AUTO
ni/,I-AUTO
rang,I-AUTO
gi,I-AUTO
ngo,I-AUTO
bo,I-AUTO
ji,I-AUTO
lta,I-AUTO
bu,I-AUTO
zhig//,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
ni,I-AUTO
gang,I-AUTO
dag,I-AUTO
gang,I-AUTO
rnams,I-AUTO
yin/,I-AUTO
de,I-AUTO
yang,I-AUTO
dag,I-AUTO
par,I-AUTO
brjod,I-AUTO
pa,I-AUTO
ni,I-AUTO
ji,I-AUTO
ltar,I-AUTO
brjod,I-AUTO
ce,I-AUTO
na/,I-AUTO
de,I-AUTO
la,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ni/,I-AUTO
gnyis,I-AUTO
su,I-AUTO
med,I-AUTO
pa'i,I-AUTO
ye,I-AUTO
shes,I-AUTO
te/,I-AUTO
de,I-AUTO
ni,I-AUTO
dus,I-AUTO
gsum,I-AUTO
gyi,I-AUTO
sang,I-AUTO
rgyas,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
bdag,I-AUTO
nyid/,I-AUTO
byang,I-AUTO
chub,I-AUTO
kyi,I-AUTO
sems,I-AUTO
kyi,I-AUTO
ngo,I-AUTO
bo//,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
chos,I-AUTO
nyid,I-AUTO
dang,I-AUTO
tha,I-AUTO
mi,I-AUTO
dad,I-AUTO
pa,I-AUTO
yin,I-AUTO
te/,I-AUTO
de'i,I-AUTO
dbang,I-AUTO
gis,I-AUTO
snang,I-AUTO
ba'i,I-AUTO
