Index,Word,Label_ID,Label_Name,Mode,Is_Switch,Confidence
0,@,0,Auto,auto,NO,0.668
1,/,0,Auto,auto,NO,0.475
2,/,0,Auto,auto,NO,0.502
3,'phags,0,Auto,auto,NO,0.594
4,pa,0,Auto,auto,NO,0.893
5,dpung,0,Auto,auto,NO,0.670
6,bzangs,0,Auto,auto,NO,0.803
7,kyis,0,Auto,auto,NO,0.934
8,zhus,0,Auto,auto,NO,0.891
9,pa'i,0,Auto,auto,NO,0.943
10,rgyud,0,Auto,auto,NO,0.876
11,kyi,0,Auto,auto,NO,0.938
12,tshig,0,Auto,auto,NO,0.954
13,gi,0,Auto,auto,NO,0.950
14,don,0,Auto,auto,NO,0.967
15,bshad,0,Auto,auto,NO,0.952
16,pa'i,0,Auto,auto,NO,0.958
17,brjed,0,Auto,auto,NO,0.923
18,byang,0,Auto,auto,NO,0.941
19,bzhugs,0,Auto,auto,NO,0.886
20,//,0,Auto,auto,NO,0.729
21,@##,0,Auto,auto,NO,0.476
22,/,0,Auto,auto,NO,0.313
23,/,3,SWITCH→Allo,allo,YES,0.334
24,chos,1,Allo,allo,NO,0.438
25,dbyings,1,Allo,allo,NO,0.627
26,mnyam,1,Allo,allo,NO,0.798
27,pa,1,Allo,allo,NO,0.784
28,nyid,1,Allo,allo,NO,0.822
29,la,1,Allo,allo,NO,0.836
30,rab,1,Allo,allo,NO,0.897
31,zhugs,1,Allo,allo,NO,0.863
32,kyang,1,Allo,allo,NO,0.863
33,/,1,Allo,allo,NO,0.662
34,/,1,Allo,allo,NO,0.610
35,thugs,1,Allo,allo,NO,0.685
36,rjes,1,Allo,allo,NO,0.897
37,gtan,1,Allo,allo,NO,0.924
38,du,1,Allo,allo,NO,0.890
39,mya,1,Allo,allo,NO,0.887
40,ngan,1,Allo,allo,NO,0.884
41,mi,1,Allo,allo,NO,0.910
42,'da',1,Allo,allo,NO,0.893
43,zhing,1,Allo,allo,NO,0.852
44,/,1,Allo,allo,NO,0.673
45,/,1,Allo,allo,NO,0.662
46,'gro,1,Allo,allo,NO,0.681
47,ba'i,1,Allo,allo,NO,0.825
48,don,1,Allo,allo,NO,0.838
49,mdzad,1,Allo,allo,NO,0.865
50,mtha',1,Allo,allo,NO,0.903
51,yas,1,Allo,allo,NO,0.893
52,gzugs,1,Allo,allo,NO,0.868
53,mnga',1,Allo,allo,NO,0.868
54,ba,1,Allo,allo,NO,0.842
55,/,1,Allo,allo,NO,0.679
56,/,1,Allo,allo,NO,0.651
57,dpal,1,Allo,allo,NO,0.733
58,brtan,1,Allo,allo,NO,0.843
59,rdo,1,Allo,allo,NO,0.758
60,rje,1,Allo,allo,NO,0.839
61,bsnams,1,Allo,allo,NO,0.830
62,la,1,Allo,allo,NO,0.817
63,phyag,1,Allo,allo,NO,0.727
64,'tshal,1,Allo,allo,NO,0.761
65,lo,1,Allo,allo,NO,0.660
66,/,0,Auto,auto,NO,0.360
67,/,0,Auto,auto,NO,0.450
68,de,0,Auto,auto,NO,0.649
69,ltar,0,Auto,auto,NO,0.920
70,bsdus,0,Auto,auto,NO,0.961
71,pa'i,0,Auto,auto,NO,0.964
72,don,0,Auto,auto,NO,0.980
73,dang,0,Auto,auto,NO,0.982
74,dgos,0,Auto,auto,NO,0.964
75,pa,0,Auto,auto,NO,0.974
76,dag,0,Auto,auto,NO,0.949
77,/,0,Auto,auto,NO,0.894
78,slob,0,Auto,auto,NO,0.905
79,dpon,0,Auto,auto,NO,0.953
80,khyad,0,Auto,auto,NO,0.972
81,par,0,Auto,auto,NO,0.970
82,can,0,Auto,auto,NO,0.977
83,gyis,0,Auto,auto,NO,0.969
84,gsal,0,Auto,auto,NO,0.960
85,mdzad,0,Auto,auto,NO,0.900
86,kyang,0,Auto,auto,NO,0.927
87,/,0,Auto,auto,NO,0.832
88,/,0,Auto,auto,NO,0.769
89,tshig,0,Auto,auto,NO,0.923
90,gi,0,Auto,auto,NO,0.972
91,don,0,Auto,auto,NO,0.981
92,dang,0,Auto,auto,NO,0.981
93,mtshams,0,Auto,auto,NO,0.964
94,sbyar,0,Auto,auto,NO,0.972
95,brgal,0,Auto,auto,NO,0.947
96,ba'i,0,Auto,auto,NO,0.968
97,lan,0,Auto,auto,NO,0.968
98,/,0,Auto,auto,NO,0.844
99,/,0,Auto,auto,NO,0.769
100,rang,0,Auto,auto,NO,0.818
101,la,0,Auto,auto,NO,0.963
102,gces,0,Auto,auto,NO,0.926
103,pa'i,0,Auto,auto,NO,0.955
104,don,0,Auto,auto,NO,0.968
105,du,0,Auto,auto,NO,0.961
106,cung,0,Auto,auto,NO,0.961
107,zad,0,Auto,auto,NO,0.948
108,dbye,0,Auto,auto,NO,0.923
109,/,0,Auto,auto,NO,0.671
110,/,0,Auto,auto,NO,0.672
111,de,0,Auto,auto,NO,0.437
112,la,0,Auto,auto,NO,0.682
113,gnod,0,Auto,auto,NO,0.535
114,sbyin,0,Auto,auto,NO,0.591
115,bdag,0,Auto,auto,NO,0.698
116,po,0,Auto,auto,NO,0.617
117,zhes,0,Auto,auto,NO,0.760
118,bya,0,Auto,auto,NO,0.772
119,ba,0,Auto,auto,NO,0.868
120,ni,0,Auto,auto,NO,0.862
121,phyag,0,Auto,auto,NO,0.638
122,na,0,Auto,auto,NO,0.760
123,rdo,0,Auto,auto,NO,0.731
124,rje,0,Auto,auto,NO,0.806
125,ste,0,Auto,auto,NO,0.752
126,/,0,Auto,auto,NO,0.587
127,gnod,0,Auto,auto,NO,0.430
128,sbyin,0,Auto,auto,NO,0.604
129,thams,0,Auto,auto,NO,0.872
130,cad,0,Auto,auto,NO,0.808
131,'dul,0,Auto,auto,NO,0.860
132,bar,0,Auto,auto,NO,0.885
133,mnga',0,Auto,auto,NO,0.747
134,gsol,0,Auto,auto,NO,0.567
135,ba'i,0,Auto,auto,NO,0.923
136,phyir,0,Auto,auto,NO,0.872
137,ro,0,Auto,auto,NO,0.839
138,/,1,Allo,allo,NO,0.360
139,/,1,Allo,allo,NO,0.370
140,nyi,1,Allo,allo,NO,0.461
141,ma,1,Allo,allo,NO,0.575
142,stong,1,Allo,allo,NO,0.497
143,gi,1,Allo,allo,NO,0.647
144,gzi,1,Allo,allo,NO,0.667
145,zhes,0,Auto,auto,NO,0.694
146,bya,0,Auto,auto,NO,0.762
147,ba,0,Auto,auto,NO,0.882
148,ni,0,Auto,auto,NO,0.859
149,sku,0,Auto,auto,NO,0.733
150,dang,0,Auto,auto,NO,0.884
151,thugs,0,Auto,auto,NO,0.819
152,kyi,0,Auto,auto,NO,0.940
153,yon,0,Auto,auto,NO,0.923
154,tan,0,Auto,auto,NO,0.946
155,la,0,Auto,auto,NO,0.974
156,sbyar,0,Auto,auto,NO,0.942
157,ro,0,Auto,auto,NO,0.880
158,/,1,Allo,allo,NO,0.413
159,/,1,Allo,allo,NO,0.414
160,thugs,0,Auto,auto,NO,0.409
161,rje,1,Allo,allo,NO,0.536
162,zhes,0,Auto,auto,NO,0.688
163,bya,0,Auto,auto,NO,0.748
164,ba,0,Auto,auto,NO,0.843
165,ni,0,Auto,auto,NO,0.843
166,sems,0,Auto,auto,NO,0.585
167,can,0,Auto,auto,NO,0.685
168,thams,0,Auto,auto,NO,0.826
169,cad,0,Auto,auto,NO,0.733
170,la,0,Auto,auto,NO,0.849
171,brtse,0,Auto,auto,NO,0.687
172,bar,0,Auto,auto,NO,0.848
173,dgongs,0,Auto,auto,NO,0.839
174,pa'i,0,Auto,auto,NO,0.911
175,don,0,Auto,auto,NO,0.933
176,to,0,Auto,auto,NO,0.900
177,/,1,Allo,allo,NO,0.450
178,/,1,Allo,allo,NO,0.437
179,rtse,1,Allo,allo,NO,0.442
180,gcig,1,Allo,allo,NO,0.611
181,yid,1,Allo,allo,NO,0.668
182,gyur,1,Allo,allo,NO,0.696
183,zhes,0,Auto,auto,NO,0.767
184,bya,0,Auto,auto,NO,0.781
185,ba,0,Auto,auto,NO,0.855
186,ni,0,Auto,auto,NO,0.851
187,de,0,Auto,auto,NO,0.470
188,bzhin,0,Auto,auto,NO,0.517
189,nyid,0,Auto,auto,NO,0.729
190,la,0,Auto,auto,NO,0.879
191,dgongs,0,Auto,auto,NO,0.853
192,pa'i,0,Auto,auto,NO,0.917
193,don,0,Auto,auto,NO,0.939
194,to,0,Auto,auto,NO,0.915
195,/,1,Allo,allo,NO,0.473
196,/,1,Allo,allo,NO,0.460
197,bzhugs,1,Allo,allo,NO,0.471
198,pa,1,Allo,allo,NO,0.709
199,la,1,Allo,allo,NO,0.503
200,zhes,0,Auto,auto,NO,0.688
201,bya,0,Auto,auto,NO,0.721
202,ba,0,Auto,auto,NO,0.856
203,ni,0,Auto,auto,NO,0.857
204,tshangs,0,Auto,auto,NO,0.636
205,pa'i,0,Auto,auto,NO,0.807
206,gnas,0,Auto,auto,NO,0.788
207,pa,0,Auto,auto,NO,0.933
208,la,0,Auto,auto,NO,0.941
209,sogs,0,Auto,auto,NO,0.888
210,pa,0,Auto,auto,NO,0.932
211,ste,0,Auto,auto,NO,0.899
212,thugs,0,Auto,auto,NO,0.633
213,rjes,0,Auto,auto,NO,0.646
214,zhes,0,Auto,auto,NO,0.886
215,smos,0,Auto,auto,NO,0.893
216,pa'i,0,Auto,auto,NO,0.954
217,phyir,0,Auto,auto,NO,0.942
218,ro,0,Auto,auto,NO,0.895
219,/,0,Auto,auto,NO,0.389
220,/,0,Auto,auto,NO,0.351
221,dpung,1,Allo,allo,NO,0.392
222,bzangs,1,Allo,allo,NO,0.427
223,tshul,1,Allo,allo,NO,0.589
224,bzhin,1,Allo,allo,NO,0.708
225,gus,1,Allo,allo,NO,0.604
226,par,1,Allo,allo,NO,0.712
227,phyag,1,Allo,allo,NO,0.611
228,'tshal,1,Allo,allo,NO,0.698
229,nas,1,Allo,allo,NO,0.619
230,/,1,Allo,allo,NO,0.524
231,/,1,Allo,allo,NO,0.523
232,zhes,0,Auto,auto,NO,0.526
233,bya,0,Auto,auto,NO,0.699
234,ba,0,Auto,auto,NO,0.839
235,ni,0,Auto,auto,NO,0.855
236,shin,0,Auto,auto,NO,0.698
237,tu,0,Auto,auto,NO,0.698
238,dang,0,Auto,auto,NO,0.733
239,bas,0,Auto,auto,NO,0.862
240,mgo,0,Auto,auto,NO,0.772
241,bos,0,Auto,auto,NO,0.771
242,yab,0,Auto,auto,NO,0.800
243,kyi,0,Auto,auto,NO,0.879
244,zhabs,0,Auto,auto,NO,0.750
245,la,0,Auto,auto,NO,0.788
246,gtugs,0,Auto,auto,NO,0.807
247,te,0,Auto,auto,NO,0.847
248,phyag,0,Auto,auto,NO,0.704
249,byas,0,Auto,auto,NO,0.778
250,pa'i,0,Auto,auto,NO,0.942
251,don,0,Auto,auto,NO,0.933
252,to,0,Auto,auto,NO,0.919
253,/,0,Auto,auto,NO,0.432
254,/,0,Auto,auto,NO,0.394
255,tshogs,0,Auto,auto,NO,0.369
256,kun,1,Allo,allo,NO,0.531
257,grub,0,Auto,auto,NO,0.488
258,la,0,Auto,auto,NO,0.509
259,zhus,0,Auto,auto,NO,0.619
260,zhes,0,Auto,auto,NO,0.659
261,bya,0,Auto,auto,NO,0.768
262,ba,0,Auto,auto,NO,0.892
263,ni,0,Auto,auto,NO,0.871
264,sangs,0,Auto,auto,NO,0.814
265,rgyas,0,Auto,auto,NO,0.835
266,dang,0,Auto,auto,NO,0.952
267,byang,0,Auto,auto,NO,0.805
268,chub,0,Auto,auto,NO,0.805
269,sems,0,Auto,auto,NO,0.836
270,dpal,0,Auto,auto,NO,0.796
271,la,0,Auto,auto,NO,0.929
272,sogs,0,Auto,auto,NO,0.883
273,pas,0,Auto,auto,NO,0.860
274,/,0,Auto,auto,NO,0.769
275,rig,0,Auto,auto,NO,0.583
276,sngags,0,Auto,auto,NO,0.813
277,dang,0,Auto,auto,NO,0.946
278,gsang,0,Auto,auto,NO,0.809
279,sngags,0,Auto,auto,NO,0.857
280,mang,0,Auto,auto,NO,0.925
281,po,0,Auto,auto,NO,0.962
282,so,0,Auto,auto,NO,0.931
283,so'i,0,Auto,auto,NO,0.930
284,cho,0,Auto,auto,NO,0.910
285,ga,0,Auto,auto,NO,0.904
286,zhib,0,Auto,auto,NO,0.948
287,mo,0,Auto,auto,NO,0.938
288,gsungs,0,Auto,auto,NO,0.877
289,pa,0,Auto,auto,NO,0.955
290,rnams,0,Auto,auto,NO,0.950
291,nges,0,Auto,auto,NO,0.859
292,par,0,Auto,auto,NO,0.925
293,dngos,0,Auto,auto,NO,0.838
294,grub,0,Auto,auto,NO,0.890
295,tu,0,Auto,auto,NO,0.958
296,gyur,0,Auto,auto,NO,0.923
297,par,0,Auto,auto,NO,0.956
298,bya,0,Auto,auto,NO,0.964
299,ba'i,0,Auto,auto,NO,0.963
300,don,0,Auto,auto,NO,0.961
301,rnams,0,Auto,auto,NO,0.952
302,zhus,0,Auto,auto,NO,0.857
303,zhes,0,Auto,auto,NO,0.863
304,bya,0,Auto,auto,NO,0.884
305,ba'i,0,Auto,auto,NO,0.949
306,tha,0,Auto,auto,NO,0.898
307,tshig,0,Auto,auto,NO,0.949
308,go,0,Auto,auto,NO,0.912
309,/,0,Auto,auto,NO,0.481
310,/,0,Auto,auto,NO,0.392
311,sa,1,Allo,allo,NO,0.418
312,steng,1,Allo,allo,NO,0.483
313,mi,1,Allo,allo,NO,0.437
314,rnams,1,Allo,allo,NO,0.431
315,zhes,0,Auto,auto,NO,0.714
316,bya,0,Auto,auto,NO,0.815
317,ba,0,Auto,auto,NO,0.913
318,ni,0,Auto,auto,NO,0.912
319,skabs,0,Auto,auto,NO,0.956
320,'di,0,Auto,auto,NO,0.928
321,la,0,Auto,auto,NO,0.971
322,sogs,0,Auto,auto,NO,0.947
323,rig,0,Auto,auto,NO,0.875
324,sngags,0,Auto,auto,NO,0.894
325,'chang,0,Auto,auto,NO,0.967
326,la,0,Auto,auto,NO,0.983
327,sbyar,0,Auto,auto,NO,0.979
328,ba'i,0,Auto,auto,NO,0.971
329,shas,0,Auto,auto,NO,0.980
330,chung,0,Auto,auto,NO,0.978
331,ba'i,0,Auto,auto,NO,0.973
332,don,0,Auto,auto,NO,0.962
333,to,0,Auto,auto,NO,0.917
334,/,0,Auto,auto,NO,0.377
335,/,0,Auto,auto,NO,0.333
336,bzlas,1,Allo,allo,NO,0.373
337,brjod,0,Auto,auto,NO,0.517
338,ces,0,Auto,auto,NO,0.669
339,bya,0,Auto,auto,NO,0.797
340,ba,0,Auto,auto,NO,0.887
341,ni,0,Auto,auto,NO,0.883
342,yan,0,Auto,auto,NO,0.895
343,lag,0,Auto,auto,NO,0.887
344,bzhi,0,Auto,auto,NO,0.809
345,pa'i,0,Auto,auto,NO,0.939
346,don,0,Auto,auto,NO,0.937
347,to,0,Auto,auto,NO,0.876
348,/,1,Allo,allo,NO,0.401
349,/,1,Allo,allo,NO,0.401
350,smyung,1,Allo,allo,NO,0.415
351,ba,1,Allo,allo,NO,0.510
352,zhes,0,Auto,auto,NO,0.606
353,bya,0,Auto,auto,NO,0.643
354,ba,0,Auto,auto,NO,0.787
355,ni,0,Auto,auto,NO,0.786
356,kha,0,Auto,auto,NO,0.557
357,zas,0,Auto,auto,NO,0.527
358,mi,0,Auto,auto,NO,0.777
359,za,0,Auto,auto,NO,0.686
360,ba'o,0,Auto,auto,NO,0.860
361,/,1,Allo,allo,NO,0.409
362,/,1,Allo,allo,NO,0.406
363,dka',1,Allo,allo,NO,0.571
364,thub,1,Allo,allo,NO,0.579
365,ces,0,Auto,auto,NO,0.542
366,bya,0,Auto,auto,NO,0.628
367,ba,0,Auto,auto,NO,0.771
368,ni,0,Auto,auto,NO,0.720
369,'gal,0,Auto,auto,NO,0.557
370,ba'i,0,Auto,auto,NO,0.760
371,zas,0,Auto,auto,NO,0.639
372,dang,0,Auto,auto,NO,0.852
373,gos,0,Auto,auto,NO,0.596
374,spang,0,Auto,auto,NO,0.692
375,ba'o,0,Auto,auto,NO,0.847
376,/,1,Allo,allo,NO,0.403
377,/,1,Allo,allo,NO,0.418
378,nges,1,Allo,allo,NO,0.480
379,par,1,Allo,allo,NO,0.617
380,spyad,1,Allo,allo,NO,0.471
381,pa,0,Auto,auto,NO,0.487
382,zhes,0,Auto,auto,NO,0.585
383,bya,0,Auto,auto,NO,0.664
384,ba,0,Auto,auto,NO,0.779
385,ni,0,Auto,auto,NO,0.765
386,smyung,0,Auto,auto,NO,0.400
387,ba,0,Auto,auto,NO,0.717
388,dang,0,Auto,auto,NO,0.882
389,mi,0,Auto,auto,NO,0.722
390,smra,0,Auto,auto,NO,0.577
391,ba'i,0,Auto,auto,NO,0.845
392,dka',0,Auto,auto,NO,0.539
393,thub,0,Auto,auto,NO,0.640
394,kyi,0,Auto,auto,NO,0.902
395,dus,0,Auto,auto,NO,0.567
396,'di,0,Auto,auto,NO,0.653
397,srid,0,Auto,auto,NO,0.582
398,gcig,0,Auto,auto,NO,0.665
399,tu,0,Auto,auto,NO,0.751
400,bya'o,0,Auto,auto,NO,0.754
401,zhes,0,Auto,auto,NO,0.628
402,lus,0,Auto,auto,NO,0.715
403,dang,0,Auto,auto,NO,0.846
404,ngag,0,Auto,auto,NO,0.704
405,gi,0,Auto,auto,NO,0.892
406,sgo,0,Auto,auto,NO,0.718
407,shin,0,Auto,auto,NO,0.791
408,tu,0,Auto,auto,NO,0.846
409,sdom,0,Auto,auto,NO,0.784
410,pa'o,0,Auto,auto,NO,0.927
411,/,0,Auto,auto,NO,0.510
412,/,0,Auto,auto,NO,0.584
413,rab,0,Auto,auto,NO,0.375
414,tu,0,Auto,auto,NO,0.593
415,bsgrims,0,Auto,auto,NO,0.785
416,kyang,0,Auto,auto,NO,0.818
417,grub,0,Auto,auto,NO,0.900
418,pa,0,Auto,auto,NO,0.889
419,ma,0,Auto,auto,NO,0.837
420,mthong,0,Auto,auto,NO,0.917
421,na,0,Auto,auto,NO,0.811
422,/,0,Auto,auto,NO,0.938
423,/,0,Auto,auto,NO,0.789
424,zhes,0,Auto,auto,NO,0.869
425,bya,0,Auto,auto,NO,0.943
426,ba,0,Auto,auto,NO,0.470
427,ni,0,Auto,auto,NO,0.448
428,'bad,0,Auto,auto,NO,0.503
429,par,0,Auto,auto,NO,0.550
430,ni,0,Auto,auto,NO,0.622
431,gzigs,0,Auto,auto,NO,0.723
432,la,0,Auto,auto,NO,0.747
433,grub,0,Auto,auto,NO,0.789
434,par,0,Auto,auto,NO,0.893
435,ni,0,Auto,auto,NO,0.886
436,ma,0,Auto,auto,NO,0.599
437,gzigs,0,Auto,auto,NO,0.866
438,zhes,0,Auto,auto,NO,0.946
439,bya,0,Auto,auto,NO,0.865
440,ba'i,0,Auto,auto,NO,0.753
441,tha,0,Auto,auto,NO,0.930
442,tshig,0,Auto,auto,NO,0.758
443,go,0,Auto,auto,NO,0.805
444,/,0,Auto,auto,NO,0.949
445,/,0,Auto,auto,NO,0.764
446,gtso,0,Auto,auto,NO,0.817
447,bo,0,Auto,auto,NO,0.783
448,khyod,0,Auto,auto,NO,0.822
449,kyis,0,Auto,auto,NO,0.896
450,zhes,0,Auto,auto,NO,0.858
451,bya,0,Auto,auto,NO,0.837
452,ba,0,Auto,auto,NO,0.869
453,ni,0,Auto,auto,NO,0.909
454,skabs,0,Auto,auto,NO,0.878
455,'dir,0,Auto,auto,NO,0.942
456,phyag,0,Auto,auto,NO,0.877
457,na,0,Auto,auto,NO,0.925
458,rdo,0,Auto,auto,NO,0.950
459,rje,0,Auto,auto,NO,0.889
460,kho,0,Auto,auto,NO,0.961
461,na,0,Auto,auto,NO,0.398
462,smos,1,Allo,allo,NO,0.373
463,pa,1,Allo,allo,NO,0.476
464,ni,1,Allo,allo,NO,0.628
465,sa,1,Allo,allo,NO,0.595
466,'dzin,1,Allo,allo,NO,0.697
467,nam,1,Allo,allo,NO,0.541
468,rdo,1,Allo,allo,NO,0.673
469,rje'i,1,Allo,allo,NO,0.692
470,rigs,1,Allo,allo,NO,0.611
471,kyi,1,Allo,allo,NO,0.667
472,shas,1,Allo,allo,NO,0.514
473,cher,1,Allo,allo,NO,0.568
474,gsungs,0,Auto,auto,NO,0.561
475,par,0,Auto,auto,NO,0.706
476,rig,0,Auto,auto,NO,0.881
477,par,0,Auto,auto,NO,0.886
478,bya'o,0,Auto,auto,NO,0.579
479,/,0,Auto,auto,NO,0.648
480,/,0,Auto,auto,NO,0.756
481,sdig,0,Auto,auto,NO,0.719
482,'joms,0,Auto,auto,NO,0.787
483,zhes,0,Auto,auto,NO,0.551
484,bya,0,Auto,auto,NO,0.588
485,ba,0,Auto,auto,NO,0.618
486,ni,0,Auto,auto,NO,0.659
487,gsang,0,Auto,auto,NO,0.621
488,sngags,0,Auto,auto,NO,0.783
489,de,0,Auto,auto,NO,0.797
490,dag,0,Auto,auto,NO,0.920
491,gi,0,Auto,auto,NO,0.867
492,las,0,Auto,auto,NO,0.939
493,rnam,0,Auto,auto,NO,0.919
494,par,0,Auto,auto,NO,0.426
495,dag,0,Auto,auto,NO,0.373
496,pa,0,Auto,auto,NO,0.499
497,bstan,0,Auto,auto,NO,0.483
498,to,0,Auto,auto,NO,0.507
499,/,0,Auto,auto,NO,0.475
500,/,0,Auto,auto,NO,0.703
501,dag,0,Auto,auto,NO,0.746
502,byed,0,Auto,auto,NO,0.895
503,rnams,0,Auto,auto,NO,0.886
504,kyi,0,Auto,auto,NO,0.921
505,mchog,0,Auto,auto,NO,0.907
506,ces,0,Auto,auto,NO,0.823
507,bya,0,Auto,auto,NO,0.882
508,ba,0,Auto,auto,NO,0.868
509,ni,0,Auto,auto,NO,0.927
510,rang,0,Auto,auto,NO,0.928
511,bzhin,0,Auto,auto,NO,0.955
512,rnam,0,Auto,auto,NO,0.925
513,par,0,Auto,auto,NO,0.962
514,dag,0,Auto,auto,NO,0.966
515,pa,0,Auto,auto,NO,0.834
516,bstan,0,Auto,auto,NO,0.883
517,to,0,Auto,auto,NO,0.938
518,/,0,Auto,auto,NO,0.891
519,/,0,Auto,auto,NO,0.918
520,bden,0,Auto,auto,NO,0.938
521,pa'i,0,Auto,auto,NO,0.966
522,gsung,0,Auto,auto,NO,0.962
523,gis,0,Auto,auto,NO,0.967
524,rab,0,Auto,auto,NO,0.935
525,tu,0,Auto,auto,NO,0.953
526,bka',0,Auto,auto,NO,0.949
527,stsal,0,Auto,auto,NO,0.939
528,na,0,Auto,auto,NO,0.939
529,/,1,Allo,allo,NO,0.391
530,/,1,Allo,allo,NO,0.374
531,zhes,1,Allo,allo,NO,0.480
532,bya,1,Allo,allo,NO,0.652
533,ba,0,Auto,auto,NO,0.701
534,ni,0,Auto,auto,NO,0.751
535,rgyud,0,Auto,auto,NO,0.850
536,rnam,0,Auto,auto,NO,0.837
537,par,0,Auto,auto,NO,0.684
538,dag,0,Auto,auto,NO,0.702
539,par,0,Auto,auto,NO,0.816
540,bstan,0,Auto,auto,NO,0.780
541,pa'o,0,Auto,auto,NO,0.941
542,/,0,Auto,auto,NO,0.708
543,/,0,Auto,auto,NO,0.746
544,ji,0,Auto,auto,NO,0.695
545,ltar,0,Auto,auto,NO,0.836
546,sngags,0,Auto,auto,NO,0.920
547,rnams,0,Auto,auto,NO,0.934
548,'bras,0,Auto,auto,NO,0.925
549,bu,1,Allo,allo,NO,0.470
550,ma,1,Allo,allo,NO,0.469
551,mchis,1,Allo,allo,NO,0.608
552,gyur,1,Allo,allo,NO,0.619
553,/,1,Allo,allo,NO,0.621
554,/,1,Allo,allo,NO,0.750
555,zhes,1,Allo,allo,NO,0.629
556,bya,0,Auto,auto,NO,0.601
557,ba,0,Auto,auto,NO,0.740
558,ni,0,Auto,auto,NO,0.848
559,rnam,0,Auto,auto,NO,0.848
560,par,0,Auto,auto,NO,0.471
561,dag,0,Auto,auto,NO,0.496
562,pa'i,0,Auto,auto,NO,0.585
563,khungs,0,Auto,auto,NO,0.522
564,nas,0,Auto,auto,NO,0.706
565,byung,0,Auto,auto,NO,0.877
566,ba,0,Auto,auto,NO,0.921
567,la,0,Auto,auto,NO,0.900
568,/,1,Allo,allo,NO,0.449
569,slu,1,Allo,allo,NO,0.431
570,ba,1,Allo,allo,NO,0.416
571,mi,1,Allo,allo,NO,0.587
572,srid,0,Auto,auto,NO,0.493
573,par,1,Allo,allo,NO,0.543
574,brjod,1,Allo,allo,NO,0.583
575,pa'o,1,Allo,allo,NO,0.701
576,/,1,Allo,allo,NO,0.548
577,/,1,Allo,allo,NO,0.575
578,rab,1,Allo,allo,NO,0.514
579,dang,1,Allo,allo,NO,0.481
580,'bring,1,Allo,allo,NO,0.496
581,dang,0,Auto,auto,NO,0.512
582,de,0,Auto,auto,NO,0.666
583,bzhin,0,Auto,auto,NO,0.839
584,tha,0,Auto,auto,NO,0.834
585,ma,0,Auto,auto,NO,0.636
586,zhes,0,Auto,auto,NO,0.698
587,bya,0,Auto,auto,NO,0.677
588,ba,0,Auto,auto,NO,0.796
589,la,0,Auto,auto,NO,0.922
590,sogs,0,Auto,auto,NO,0.909
591,pas,0,Auto,auto,NO,0.938
592,ni,1,Allo,allo,NO,0.395
593,nam,1,Allo,allo,NO,0.341
594,mkha',1,Allo,allo,NO,0.506
595,la,1,Allo,allo,NO,0.838
596,'gro,1,Allo,allo,NO,0.466
597,ba,1,Allo,allo,NO,0.757
598,la,1,Allo,allo,NO,0.795
599,sogs,1,Allo,allo,NO,0.811
600,pa'i,1,Allo,allo,NO,0.857
601,dngos,1,Allo,allo,NO,0.842
602,grub,1,Allo,allo,NO,0.873
603,sgrub,1,Allo,allo,NO,0.773
604,pa,1,Allo,allo,NO,0.696
605,po,2,SWITCH→Auto,auto,YES,0.414
606,la,0,Auto,auto,NO,0.606
607,yon,0,Auto,auto,NO,0.817
608,tan,0,Auto,auto,NO,0.836
609,yang,0,Auto,auto,NO,0.740
610,yod,0,Auto,auto,NO,0.667
611,/,0,Auto,auto,NO,0.864
612,gsang,0,Auto,auto,NO,0.942
613,sngags,0,Auto,auto,NO,0.865
614,kyang,0,Auto,auto,NO,0.921
615,mthu,0,Auto,auto,NO,0.904
616,che,0,Auto,auto,NO,0.951
617,mod,0,Auto,auto,NO,0.952
618,kyi,0,Auto,auto,NO,0.732
619,/,0,Auto,auto,NO,0.489
620,ma,0,Auto,auto,NO,0.921
621,bsgrubs,0,Auto,auto,NO,0.913
622,pa'i,0,Auto,auto,NO,0.782
623,phyir,0,Auto,auto,NO,0.932
624,dngos,0,Auto,auto,NO,0.900
625,grub,0,Auto,auto,NO,0.939
626,ma,0,Auto,auto,NO,0.471
627,thob,0,Auto,auto,NO,0.480
628,po,0,Auto,auto,NO,0.443
629,zhes,0,Auto,auto,NO,0.680
630,bya,0,Auto,auto,NO,0.612
631,ba'i,0,Auto,auto,NO,0.764
632,glan,1,Allo,allo,NO,0.462
633,ka,1,Allo,allo,NO,0.493
634,bsal,0,Auto,auto,NO,0.637
635,ba'i,0,Auto,auto,NO,0.656
636,don,0,Auto,auto,NO,0.740
637,to,0,Auto,auto,NO,0.730
638,/,0,Auto,auto,NO,0.881
639,/,0,Auto,auto,NO,0.857
640,'bras,0,Auto,auto,NO,0.868
641,bu,0,Auto,auto,NO,0.871
642,zhes,0,Auto,auto,NO,0.871
643,bya,0,Auto,auto,NO,0.676
644,ba,0,Auto,auto,NO,0.622
645,dang,0,Auto,auto,NO,0.806
